Nome,Jogadores_Range,Melhor_em_dados,No. Jogadores,Categoria,Categoria_Display,Image,BGG,Ludopedia,Regras,BiriDeck,BiriDeck_Display,BD_Adaptação,Magana,Conta_Notas,Dummy1,Dummy2,Dummy3,Dummy4,Dummy5,Dummy6,Dummy7,Dummy8,Dummy9,Dummy10,Media,Emoji_Media,Subtitulo,Alex,Bia,Ênyo,Fel,Júlio,Leo,Narumi,Torselli,Nome Alt,Fabrício,Resumo_Vaza,Com Resumo,Jorge O.,Mecânicas Secundárias,Resumo_Outros,Aline,Alison,Bruno Menezes,Daniel,Diego,Fernando,Gustavo,Ju Palmares,Kennedy,Luís Francisco,Marco Portugal,Paty,Paulo,Renato,Thom Bellotto,Zanferrari,Amábili,André,Arthur,BH,Bruno Carvalho,Bruno Feitosa,Bruno Fernandes,Bruno Sia,Flávio,Ítalo,Jorge F.,Luís Tanaka,Mauro,Nan Te,Perdomo,Studart,Targino,Thom Cunha,BD_Informação,Walter,Breno Carvalho,Carla,Eurico,Fernanda,Marcelo Lee,Matias,Mauricio I.,Otávio,Pablo,Riva,BD_PlayerAid,Resumo_Climbing,Lucas,BD_PA_Img,Pagat
23,2 - 4 jogadores,4,"2, 3, 4",Shedding,  Shedding,https://cf.geekdo-images.com/1WHZlHMccuUztWUh6Cgvcw__imagepage/img/ZgA56okuj0KTfGkJMwgQKD2h6Bw=/fit-in/900x600/filters:no_upscale():strip_icc()/pic1051274.jpg,https://boardgamegeek.com/boardgame/103651/23,https://ludopedia.com.br/jogo/23,https://boardgamegeek.com/filepage/247596/23-english-rulebook-unofficial,"{CB}
- {Az} : **[1] {Verso}**
- {Az} {Bk} : **[2-21, K, A]** --> K = 22, A = 23
- {Lj} : **[3-21, K, A]** --> K = 22, A = 23
- **Cubo Preto x 50** --> penalty chips
- **Cubo Branco x 12**--> bonus chips","<span style=""hyphens:none"">

#### Composição do Baralho
- <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/A_gkyn8t.png"" style=""height:23px; width:23px; display: inline;""> : **[1] {Verso}**
- <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/A_gkyn8t.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/B_cqtswz.png"" style=""height:23px; width:23px; display: inline;""> : **[2-21, K, A]** --> K = 22, A = 23
- <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/C_ht4wkl.png"" style=""height:23px; width:23px; display: inline;""> : **[3-21, K, A]** --> K = 22, A = 23
- **Cubo Preto x 50** --> penalty chips
- **Cubo Branco x 12**--> bonus chips",✅✅,1,1,"2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,3636363636",👍🏻,"2 - 4 jogadores, 👍🏻 (1) - ✅✅",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#GuiltyFoodTricks,3 - 4 jogadores,3,"3, 4",Vaza,  Vaza,https://cf.geekdo-images.com/Dz1NYreJaRB92Mbo1BdRgQ__imagepage/img/etrRtgsTWrfixQkFU1MFulAV0p8=/fit-in/900x600/filters:no_upscale():strip_icc()/pic7110410.png,https://boardgamegeek.com/boardgame/368794/guiltyfoodtricks,https://ludopedia.com.br/jogo/-guiltyfoodtricks,https://drive.google.com/file/d/1gvC_Eywlh85f_HcYI9FpeZUI_Oom5pZm/view,"{CB}
- {Az} {Bk} {Lj} {Vd} : **[1-7]**
- {Am} : **[Cor] x4** --> selection card
- **Cubo Branco x4** --> zero-tricks chip","<span style=""hyphens:none"">

#### Composição do Baralho
- <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/A_gkyn8t.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/B_cqtswz.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/C_ht4wkl.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567244/D_hosby3.png"" style=""height:23px; width:23px; display: inline;""> : **[1-7]**
- <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567244/E_hepvta.png"" style=""height:23px; width:23px; display: inline;""> : **[Cor] x4** --> selection card
- **Cubo Branco x4** --> zero-tricks chip",✅✅✅,1,9,,,,,"2,5","2,5","2,5","2,5","2,5","2,5","1,7333333333",💩,"3 - 4 jogadores, 💩 (9) - ✅✅✅",1,1,1,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=Equal,3 - 5 jogadores,,"3, 4, 5",Vaza,  Vaza,https://cf.geekdo-images.com/toNTS_La6LW0QRTYnL4oQg__imagepage/img/a6u16mDES0469ZpOkAZRPBwUJeg=/fit-in/900x600/filters:no_upscale():strip_icc()/pic8182686.jpg,https://boardgamegeek.com/boardgame/420447/ikoru-equal-equal,,https://drive.google.com/file/d/1nRFWt4Bj445N3ZgwXKx8XYKnsdvwKzK5/view?usp=drive_link,,,,,0,,,,,,,,,,,,,"3 - 5 jogadores,  (0) - ",,,,,,,,,＝イコール,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Tricks Later,3 - 4 jogadores,,"3, 4",Vaza,📝  Vaza,https://cf.geekdo-images.com/y6hqLvJoe9GKlJQ4P1nL8w__imagepage/img/-0BSUx4SzCt3sPXbACRKgl0e80A=/fit-in/900x600/filters:no_upscale():strip_icc()/pic7870562.jpg,https://boardgamegeek.com/boardgame/406761/10-tricks-later,https://ludopedia.com.br/jogo/10-tricks-later,https://drive.google.com/file/d/17CiLXsSSqil5GBprwGii2QNZHcTyv4RV/view?usp=drive_link,,,,,3,,"2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5416666667",👍🏻,"3 - 4 jogadores, 👍🏻 (3) - ",,,,3,,,,3,,,"<center><span style=""hyphens:none; color:#FF6600; font-weight:bold; font-size:x-large"">Setup</span></center>

<span style=""hyphens:none"">

**Remover Cartas:**
- 3 jogadores: remova uma cor completa e as cartas 0 e 7 roxas.


**Distribuir Cartas:**
- Embaralhe todas as cartas exceto o 8 roxo e distribua 10 por jogador.


**Bid:**
- N/A



**Passar:**
- N/A


**Informações Adicionais:**
- Entregue um tabuleiro e um marcador por jogador. O marcador deve ser colocado no zero.
- Um jogador que não tenha cartas roxas pode trocar uma carta qualquer pelo 8 roxo. A carta trocada não é revelada.

------

<center><span style=""hyphens:none; color:#00AA00; font-weight:bold; font-size:x-large"">Gameplay</span></center>

**Modo de Jogo:**
- Must follow, exceto se a cor inicial for roxa.


**Trunfo:**
- Não


**Quem vence a vaza:**
- Se somente sobreviventes: maior carta da cor inicial
- Se houver um infectado: maior carta no geral


**Desempate:**
- Maior sobrevivente. Se persistir, quem jogou primeiro.


**Quem torna:**
- Quem venceu a última vaza.


**Quem começa a próxima rodada:**
- Quem fez menos pontos na rodada anterior. Caso haja empate, sorteia entre os empatados.


**Informações Adicionais:**
- Nos sobreviventes, o 1 vence o 8 de mesma cor.
- Se um jogador só possuir **uma** carta da cor inicial na mão, ele pode jogar um infectado se quiser.
- Quando a vaza iniciar com infectado, qualquer carta pode ser jogada.
- Uma vaza só pode ser iniciada com infectados após alguém jogar como off-suit (ou se o jogador só possuir infectados).
- Caso haja ao menos um infectado na vaza, o vencedor soma o valor dos infectados e remove todos os sobreviventes **acima** do seu tabuleiro que forem iguais ou menores que a soma. Vire-os para baixo e deixe ao lado do tabuleiro. Descarte os infectados. Mova o marcador do tabuleiro para zero.
- Após a verificação dos infectados, o jogador que venceu a vaza coloca todos os sobreviventes acima do tabuleiro (lado a lado). Todos os outros jogadores movem o marcador do tabuleiro igual ao número da carta jogada (se for exceder 8, o marcador não move nada). 
- Todos os jogadores então verificam os sobreviventes acima do tabuleiros. Se houver algum com valor menor do que o marcador, passe-o para baixo do tabuleiro e reduza o marcador no valor correspondente. Faça isso quantas vezes forem possíveis. Os sobreviventes abaixo do tabuleiro são colocados em uma única pilha, virada para cima.

------

<center><span style=""hyphens:none; color:#0000AA; font-weight:bold; font-size:x-large"">Pontuação</span></center>

**Pontuação:**
- 1 ponto para cada sobrevivente abaixo do tabuleiro
- 3 pontos de bônus se o marcador estiver na última casa do tabuleiro.
- -1 ponto para cada sobrevivente virado para baixo ao lado do tabuleiro.
- O mínimo que um jogador pode fazer é zero pontos (não tem pontuação negativa).


**Fim de Jogo:**
- Quando um jogador atingir 10+ pontos.


**Quem vence o jogo:**
- O jogador que tiver mais pontos.


**Desempate:**
- O jogador que tiver mais sobreviventes na parte de cima do tabuleiro.

------

<center><span style=""hyphens:none; color:#AA0000; font-weight:bold; font-size:x-large"">Variantes</span></center>

**Variantes e Regras Adicionais:**
- N/A
",📝,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000?,2 - 5 jogadores,,"2, 3, 4, 5",Climbing,📝  Climbing,https://cf.geekdo-images.com/NO_QWuL6N2bnycKGmLAr2A__imagepage/img/EXNO1ECiW8CxcKz32iB66UfCqRU=/fit-in/900x600/filters:no_upscale():strip_icc()/pic8061743.png,https://boardgamegeek.com/boardgame/415783/1000,https://ludopedia.com.br/jogo/1000,https://ludopedia.com.br/jogo/1000/anexos/271910,,,,2,19,,,,,,,,,,"2,5","2,625",⭐,"2 - 5 jogadores, ⭐ (19) - ",,2,2,3,,,3,,,2,,📝,,Shedding,"<center><span style=""hyphens:none; color:#FF6600; font-weight:bold; font-size:x-large"">Setup</span></center>

<span style=""hyphens:none"">

**Remover Cartas:**
- N/A


**Distribuir Cartas:**
- 7 cartas para cada jogador.


**Informações Adicionais:**
- N/A

------

<center><span style=""hyphens:none; color:#00AA00; font-weight:bold; font-size:x-large"">Gameplay</span></center>

**Como Jogar:**
- O jogador inicial joga uma carta qualquer e o jogo segue em sentido horário.
- Jogar sobre um 1000 - Qualquer carta pode ser jogada.
- Jogar um 1000 - Pode ser jogada em cima de qualquer carta.
- Jogar uma carta - Pode ser jogada se a carta for um número maior que a carta na mesa **e** tenha pelo menos um dos algarismos da carta sobre a mesa.
- Jogar uma carta virada para baixo - jogador pode jogar qualquer carta virada para baixo (podendo atender as condições acima ou não). Caso aconteça, o próximo jogador pode desafiar a carta jogada. Revela-se a carta e se ela estiver correta, o jogador desafiante compra 3 cartas e continua jogando. Se a carta estiver incorreta, o jogador que jogou a carta para baixo compra 3 cartas e joga novamente.
- Passar a vez - O jogador pode passar a vez, comprando uma carta do monte de compras.


**Fim da Rodada:**
- Assim que um jogador se livrar de todas as suas cartas. O jogo só tem 1 rodada.


**Quem começa a próxima rodada:**
- N/A


------

<center><span style=""hyphens:none; color:#0000AA; font-weight:bold; font-size:x-large"">Pontuação</span></center>

**Pontuação:**
- N/A


**Fim de Jogo:**
- 1 Rodada.


**Quem vence o jogo:**
- Quem se livrou de suas cartas primeiro.


**Desempate:**
- N/A

------

<center><span style=""hyphens:none; color:#AA0000; font-weight:bold; font-size:x-large"">Variantes</span></center>

**Variantes e Regras Adicionais:**
- N/A
",2,1,3,2,3,2,3,3,3,4,3,2,2,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111 Ants,2 - 5 jogadores,4,"2, 3, 4, 5",Rummy,  Rummy,https://cf.geekdo-images.com/K-ajmJxa7L5TvlWW3iu7sQ__imagepage/img/SKXlA9FEtEmIvKcwXCq_n55ATRI=/fit-in/900x600/filters:no_upscale():strip_icc()/pic5491162.jpg,https://boardgamegeek.com/boardgame/217335/111-ants,https://ludopedia.com.br/jogo/111-ants,https://drive.google.com/file/d/18t8sLvI9pyX3Qa5TrEs2ju234uNLytip/view?usp=drive_link,,,,2,2,,"2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,4090909091",👍🏻,"2 - 5 jogadores, 👍🏻 (2) - ",,,,2,,,,,111 Hormigas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 Chip Trick,2 - 4 jogadores,3,"2, 3, 4",Vaza,📝  Vaza,https://cf.geekdo-images.com/vU4g_GoMeBG4Ra9guyvpHw__imagepage/img/9J6HhaMsg1KiXAxWumlA43oCipI=/fit-in/900x600/filters:no_upscale():strip_icc()/pic7259827.png,https://boardgamegeek.com/boardgame/358669/12-chip-trick,https://ludopedia.com.br/jogo/12-chip-trick,https://drive.google.com/file/d/1WdmkfUFtiDXUOuOEyMzZtPnpH_M5sYTF/view?usp=drive_link,"{CB}
- {Az} : **[1-3, 10-12] {Verso}**
- {Lj} : **[4-9] {Verso}**
- **Cubo Preto x 7** --> scoring","<span style=""hyphens:none"">

#### Composição do Baralho
- <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/A_gkyn8t.png"" style=""height:23px; width:23px; display: inline;""> : **[1-3, 10-12] {Verso}**
- <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/C_ht4wkl.png"" style=""height:23px; width:23px; display: inline;""> : **[4-9] {Verso}**
- **Cubo Preto x 7** --> scoring",✅✅✅,4,35,,,,,,,,,,,"3,4571428571",⭐⭐,"2 - 4 jogadores, ⭐⭐ (35) - ✅✅✅",3,3,4,4,3,4,4,3,,3,"<center><span style=""hyphens:none; color:#FF6600; font-weight:bold; font-size:x-large"">Setup</span></center>

<span style=""hyphens:none"">

**Remover Cartas:**
- 2-3 jogadores: 12 fichas, uma de cada.
- 4 Players: todas as fichas.


**Distribuir Cartas:**
- 2 fichas de cada cor por jogador.


**Bid:**
- N/A


**Passar:**
- N/A


**Informações Adicionais:**
- N/A

------

<center><span style=""hyphens:none; color:#00AA00; font-weight:bold; font-size:x-large"">Gameplay</span></center>

**Modo de Jogo:**
- Cada jogador joga a ficha que quiser, qualquer cor.


**Trunfo:**
- N/A


**Quem vence a vaza:**
- Maior valor.


**Desempate:**
- Quem jogou primeiro.


**Quem torna:**
- Quem venceu a vaza.


**Quem começa a próxima rodada:**
- Quem venceu a última vaza.


**Informações Adicionais:**
- O jogador que venceu a vaza escolhe uma ficha para pontuar.
- Se houver ficha(s) vermelha(s) na mesa, ela(s) tem que ser escolhidas primeiro.
- Em sentido horário, os próximos jogadores escolhem uma ficha entre as que sobraram para trazer de volta pra sua mão (respeitando a regra da precedência das vermelhas).
- O jogadores sempre terão 4 fichas, somando a mão às da sua pontuação.
- Quando um jogador não tiver mais fichas na mão, a rodada acaba.

------

<center><span style=""hyphens:none; color:#0000AA; font-weight:bold; font-size:x-large"">Pontuação</span></center>

**Pontuação:**
- Todas as fichas de cada jogador vão pra pontuação (as que sobrarem na mão também).
- Soma os valores nas fichas: se fizer mais de 21 pontos, estourou e está fora.
- Ganha quem tiver feito mais pontos, até o limite de 21.
- Caso todos estourem, ganha quem tiver feito mais pontos, mesmo estourado.



**Fim de Jogo:**
- Quando alguém juntar 3 ""bolachas"" (vencer 3 rodadas).


**Quem vence o jogo:**
- Quem vencer 3 rodadas.


**Desempate:**
- Se houver empate na rodada, ambos ganham uma ""bolacha"".

------

<center><span style=""hyphens:none; color:#AA0000; font-weight:bold; font-size:x-large"">Variantes</span></center>

**Variantes e Regras Adicionais:**
- Variante para Pontuação:
    - Pontuações acima de 21, considerar metade do valor feito.  Ninguém ""estoura"". 

- Para 2 players, joga-se com Dummy:
    - Empilhe as fichas. Ele joga sempre a do topo.
    - Ele escolhe sempre a menor ficha disponível. Quando for para mão, vai para o fundo da pilha.
    - Se ele ganhar 3 pontos primeiro, o jogador que tiver mais ponto é o vencedor. Se estiver empatado, o Dummy vence o jogo.

",📝,3,,,4,2,,3,4,3,3,,,3,4,,5,4,3,4,4,4,3,3,3,3,3,5,4,4,3,2,3,3,3,5,1,5,,,,,,,,,,,,,,,,,
6th Sense,2 - 6 jogadores,4,"2, 3, 4, 5, 6",Vaza,📝  Vaza,https://cf.geekdo-images.com/olHL4zeLplDzjGgl3o942A__imagepage/img/SZriEwkzuQZTriUBayR2B5Z1nLg=/fit-in/900x600/filters:no_upscale():strip_icc()/pic6329985.png,https://boardgamegeek.com/image/6329985/6th-sense,https://ludopedia.com.br/jogo/6th-sense,https://drive.google.com/file/d/1TbyQ_sne82xExexXAZJEqllmsG7dchEn/view?usp=drive_link,"{CB}
- {Az} {Bk} {Lj} {Vd} {Am} : **[0-8], [10-14]**","<span style=""hyphens:none"">

#### Composição do Baralho
- <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/A_gkyn8t.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/B_cqtswz.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/C_ht4wkl.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567244/D_hosby3.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567244/E_hepvta.png"" style=""height:23px; width:23px; display: inline;""> : **[0-8], [10-14]**",✅✅✅,2,5,,,"2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,3076923077",👍🏻,"2 - 6 jogadores, 👍🏻 (5) - ✅✅✅",,,,2,,,,1,,,"<center><span style=""hyphens:none; color:#FF6600; font-weight:bold; font-size:x-large"">Setup</span></center>

<span style=""hyphens:none"">

**Remover Cartas:**
- 2 jogadores: uma cor inteira (14 cartas)


**Distribuir Cartas:**
- 15/14/14/13/11 para 2/3/4/5/6 jogadores


**Bid:**
- Separe uma das cartas da mão como palpite de quantas vazas irá vencer. Coloque-a virada para baixo, à sua frente. O 6 pode ser 6 ou 9.


**Passar:**
- N/A


**Informações Adicionais:**
- Vire a carta do topo das restantes. Será o trunfo da rodada.

------

<center><span style=""hyphens:none; color:#00AA00; font-weight:bold; font-size:x-large"">Gameplay</span></center>

**Modo de Jogo:**
- Must Follow


**Trunfo:**
- Sim, indicado pela carta virada.


**Quem vence a vaza:**
- Maior trunfo; se não houver, maior carta da cor inicial.


**Desempate:**
- N/A


**Quem torna:**
- Quem venceu a vaza.


**Quem começa a próxima rodada:**
- O jogador à esquerda do último jogador inicial.


**Informações Adicionais:**
- Cartas Especiais:
    - 0 pode (se quiser) eliminar uma carta da vaza;
    - 4 Inverte a força: a menor vence (menor q não siga a cor, se empate a jogada por último).
    - 6 pode escolher se 6 ou 9 (na hora em que jogar)
    - 8 o jogador que iniciar a vaza com um 8 pode olhar a previsão do vencedor da vaza;
    - 12 se houver uma carta 12 na vaza, o vencedor pode dividir e contar como 2 vazas.

------

<center><span style=""hyphens:none; color:#0000AA; font-weight:bold; font-size:x-large"">Pontuação</span></center>

**Pontuação:**
- Se acertar a previsão, o número de vazas previstos.
- Se errar a previsão, a diferença em pontos negativos.


**Fim de Jogo:**
- 6/6/4/5/6 rodadas em 2/3/4/5/6 jogadores.


**Quem vence o jogo:**
- Quem tiver mais pontos.


**Desempate:**
- N/A

------

<center><span style=""hyphens:none; color:#AA0000; font-weight:bold; font-size:x-large"">Variantes</span></center>

**Variantes e Regras Adicionais:**
- Jogar por pontos ao invés de rodada. Definir anteriormente.
- Abrir a carta de trunfo após o palpite.
",📝,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
7Seas,2 - 4 jogadores,"3, 4","2, 3, 4",Fishing,  Fishing,https://cf.geekdo-images.com/HBPxd84sy99Aj1nzgkaRxw__imagepage/img/ylpQvsEe9hR3clH8sf-mIRf9yts=/fit-in/900x600/filters:no_upscale():strip_icc()/pic6655156.jpg,https://boardgamegeek.com/boardgame/355940/7seas,https://ludopedia.com.br/jogo/7seas,https://drive.google.com/file/d/11bEN_-VxQOtgIhoiIoBiqd6eGofxpHVX/view?usp=drive_link,,,,3,3,,"2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,5","2,7083333333",⭐,"2 - 4 jogadores, ⭐ (3) - ",,,4,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 Lives,3 - 4 jogadores,4,"3, 4",Vaza,  Vaza,https://cf.geekdo-images.com/bLUyq_KN8I2Xhns2VSHeGg__imagepage/img/-MnefpTNEWKcrCDrmesAPCdnsOg=/fit-in/900x600/filters:no_upscale():strip_icc()/pic6733589.jpg,https://boardgamegeek.com/boardgame/189190/9-lives,https://ludopedia.com.br/jogo/-9-lives,https://drive.google.com/file/d/1dreZCD4Z0LvrBqCA8tey2YINXduIfK5x/view?usp=drive_link,"{CB}
- {Az} {Bk} {Lj} {Vd} : **[1-9] {Verso}**
- {Ai} : **[1-4]** --> apostas
- **Trilha de Pontuação**
- **Cubos Coloridos x3/jogador**","<span style=""hyphens:none"">

#### Composição do Baralho
- <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/A_gkyn8t.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/B_cqtswz.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567243/C_ht4wkl.png"" style=""height:23px; width:23px; display: inline;""> <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567244/D_hosby3.png"" style=""height:23px; width:23px; display: inline;""> : **[1-9] {Verso}**
- <img src=""https://res.cloudinary.com/dq7pvowk0/image/upload/v1725567244/H_ny9fxn.png"" style=""height:23px; width:23px; display: inline;""> : **[1-4]** --> apostas
- **Trilha de Pontuação**
- **Cubos Coloridos x3/jogador**",✅✅,4,23,,,,,,,,,,,"3,1739130435",⭐,"3 - 4 jogadores, ⭐ (23) - ✅✅",,2,4,3,3,,,4,,4,,,3,Aposta,,3,3,2,3,3,3,3,,,,2,,,,4,,,,3,,,3,2,,3,3,,,,3,4,,,5,"#### Informação Adicional
- Monte uma linhas com as 4 cartas das apostas. As apostas devem ficar na lateral da carta, e apenas uma cor pode estar em cada lado (direito/esquerdo).
- Lembrar que 1/2/3/4 pode ser 5/6/7/8",3,,,,,,,,,,,,,,,
